DSy6VHHr,Thu, 21 Jan 2021 01:16:56 GMT,click,product_2,select product from dropdown
DSy6VHHr,Thu, 21 Jan 2021 01:16:58 GMT,hover,bar_visitback,hovered on metric bar
DSy6VHHr,Thu, 21 Jan 2021 01:17:01 GMT,hover,bar_visitback,hovered on metric bar
